Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13
ADAM33	7.120227110135602e-07	5.422518825071165e-07	1.4867223399051e-06	2.4634962514369363e-08	0.0010406548390164971	3.342780701132142e-07	6.822612590440258e-07	5.740274673371459e-07	7.571740570710972e-05	3.652791565400548e-05	0.0014351803110912442	1.359365683128999e-06	1.4033838624527561e-07
ADAM8	0.00034109095577150583	3.959594323532656e-05	0.00018148247909266502	8.420206540904474e-06	1.7362248172503314e-06	2.4247749479400227e-06	0.0005813798634335399	0.0006917583523318172	3.6301739783084486e-06	5.044443241786212e-06	2.22758790187072e-05	0.0001563548285048455	0.000815701438114047
ADAMDEC1	5.523373047822133e-08	1.8906794139184058e-06	2.9455932804012264e-07	1.5732080527186554e-08	1.1155887477798387e-05	4.3551747808123764e-07	0.0005246314685791731	3.7427975030368543e-07	1.8842680447050952e-06	3.278631766079343e-06	5.652502295561135e-06	1.9490578040404216e-07	1.1519269804693977e-07
ADAMTS1	2.8816777557949536e-05	9.377443461744406e-07	3.1954944006429287e-06	4.622933374776039e-06	0.00022465754591394216	0.0007769223302602768	3.218658548576059e-07	1.6640602552797645e-05	0.0005603619501926005	3.889664185408037e-06	0.00015200080815702677	5.309122457219928e-07	8.005183076420508e-07
ADAMTS10	7.146094867493957e-05	2.3124737708712928e-05	7.264441228471696e-05	1.2527754734037444e-05	0.00011095240188296884	0.0002828479337040335	1.989156771742273e-05	0.00022978159540798515	0.0004069864808116108	0.00018042187730316073	0.0009492391836829484	2.912166110036196e-06	2.5356006517540663e-05
ADAMTS12	1.0318413842469454e-05	2.2459450974565698e-06	1.6439544197055511e-06	1.5017102441561292e-06	0.0005740987253375351	5.965500236015941e-07	1.5343766790465452e-07	4.921487288811477e-07	0.00030094964313320816	0.0011899747187271714	0.0017879109364002943	6.981609317335824e-07	3.9121286476984096e-07
ADAMTS2	3.175621259288164e-07	4.356459612608887e-06	1.5501340158152743e-06	3.1683885026723146e-07	0.0003366564342286438	1.9596716072101117e-07	2.3459292606275994e-06	6.84285510033078e-07	0.0001679221459198743	0.0018464376917108893	0.0012835535453632474	1.2252329497641767e-06	1.3539468000089983e-06
ADAMTS4	3.6436260415939614e-05	8.393311873078346e-05	9.370359293825459e-06	8.042355148063507e-06	5.191326272324659e-05	0.0005533721996471286	4.202019681542879e-06	5.898840299778385e-06	0.0008499757386744022	0.00046944699715822935	0.0003168446710333228	9.90041189652402e-06	4.189405444776639e-06
ADAMTS9	3.7077354591019684e-06	1.66536472079315e-06	3.491068980565615e-07	1.5363530110334978e-06	3.2368956453865394e-05	0.0009153420105576515	1.926680965880223e-07	1.2041256525208155e-07	0.00033558145514689386	1.801625512598548e-05	9.570905967848375e-05	4.2266051991646236e-07	7.126563161818922e-08
ADAMTS9-AS2	4.7063031161087565e-06	4.056370528360276e-07	1.0942681001324672e-06	2.011735631413103e-07	0.000730452942661941	0.0001846645027399063	1.2444071728623385e-07	2.048412710564662e-07	0.0008540770504623652	7.532233212259598e-06	0.0004691067151725292	5.167077574697032e-07	7.127898271619415e-08
ADAMTSL1	7.2413213274558075e-06	3.3707726743159583e-07	1.0116806379301124e-06	4.811904545931611e-07	0.00016174350457731634	0.0008885131101123989	1.6849959649789525e-07	2.26743466669177e-07	9.242696705769049e-07	0.000166415236890316	0.0007355863926932216	3.783527517953189e-07	2.0847906512244663e-07
ADAP2	5.7391036534681916e-05	3.902462140104035e-06	1.170861014543334e-05	2.976434416268603e-06	8.516877869624295e-07	2.9883626666560303e-06	0.0017928463639691472	3.902296612068312e-06	0.000738289556466043	4.5214615056465846e-06	1.922862429637462e-05	2.423528530925978e-05	2.408212139926036e-06
ADCY3	7.654688488401007e-06	0.000145059559145011	3.4217075153719634e-05	7.248167094076052e-06	0.0005358713679015636	2.347035479033366e-05	0.00014015974011272192	0.00041608582250773907	0.0009648860432207584	6.944182678125799e-05	0.0005089943879283965	8.125755994115025e-05	0.00014972600911278278
ADCY4	0.0005699100438505411	2.2088213427196024e-06	1.3043942090007477e-05	1.9863377019646578e-05	1.559199699840974e-05	0.0018384872237220407	1.4916859072400257e-05	1.4876751265546773e-05	0.00024026422761380672	1.4082590951147722e-06	3.2844385714270175e-05	4.313814315537456e-06	7.88374018156901e-06
ADCY7	1.679566048551351e-05	6.167384708533064e-05	0.00010636679508024827	7.693004704378836e-07	1.6624428099021316e-05	2.001847633437137e-06	0.0005025885184295475	0.0009301439858973026	1.374298562950571e-06	0.00028258925885893404	0.00013142552052158862	0.00016548186249565333	0.0005894657806493342
ADCYAP1	2.9018073277597978e-08	6.913727190749341e-08	2.7402482061233968e-08	5.426684879239474e-09	1.0058625576903069e-07	4.294820854511272e-08	3.534693604478889e-08	4.708810479314707e-07	8.941393048189639e-08	4.8671129349031617e-08	1.0513590353866675e-07	9.572126202783693e-08	1.9599758260824274e-08
ADGRA2	5.360574505175464e-06	9.541670351609355e-07	4.288027412258089e-06	3.612713896927744e-07	0.001330336555838585	0.0002852636098396033	7.792355631863757e-07	7.125639172045339e-07	0.0010081421351060271	0.00027971903909929097	0.001497393473982811	2.2489439288619906e-06	2.078796512705594e-07
ADGRE2	2.3590337150380947e-07	5.7580996326578315e-06	2.423820478725247e-05	3.0372116270882543e-06	4.780027211381821e-06	1.2906442634630366e-06	0.0011115772649645805	0.0009640369680710137	0.0001333498366875574	7.342541721300222e-06	8.377459016628563e-05	2.04944171855459e-06	1.004581918095937e-05
ADGRF5	1.196474568132544e-05	1.1188855069121928e-06	7.483921535822446e-07	9.702914667286677e-07	2.2255073872656794e-06	0.0015673289308324456	2.780823820103251e-07	7.553012437711004e-07	0.0010342113673686981	2.795814680212061e-06	3.7397876440081745e-05	1.3402694776232238e-06	6.914164032423287e-07
ADGRG1	2.4194403522415087e-05	0.0001460897910874337	1.1524967931109131e-06	0.00014861859381198883	1.506736680312315e-06	0.0006344956927932799	1.771759707480669e-05	0.0005113926017656922	1.1568703484954312e-05	2.780938530122512e-06	4.880961569142528e-06	1.0200568567597657e-06	0.0003332332707941532
ADGRL2	1.5741203242214397e-05	2.7878220407728804e-06	1.4786464817007072e-06	9.182614121527877e-06	0.0002846496645361185	0.0010184020502492785	9.262737421522615e-07	3.2417603961221175e-06	0.0005540971760638058	5.358635462471284e-05	0.0009658092749305069	1.5694567991886288e-06	3.184170225267735e-07
ADGRL4	9.039011274580844e-06	5.570761913986644e-07	1.987584937523934e-06	7.759032882859174e-07	1.4621780337620294e-06	0.0025772445369511843	7.645724053872982e-07	3.9627141745768313e-07	1.2512002740550088e-06	2.336498710064916e-06	7.965270924614742e-06	2.721611735978513e-06	3.277692428582668e-07
ADH1B	2.6112334694516903e-07	2.3783323399584333e-07	6.371505151037127e-06	1.8411151714303742e-08	0.0011186660267412663	1.7821835740505776e-07	2.7622863285614585e-07	2.816222774981725e-07	5.868500011274591e-05	2.286153204522634e-07	8.164493920048699e-06	7.024024739621382e-07	1.5200743064269773e-07
ADI1	0.00011041179823223501	0.0006036930135451257	0.00048103672452270985	0.0009219599305652082	0.0005430277087725699	0.00015217105101328343	0.0003199891361873597	0.00025787923368625343	0.00045818230137228966	0.00018712780729401857	0.0001267919724341482	0.0004582670226227492	0.0003899347211699933
ADIPOR1	0.0002618397120386362	0.0005728191463276744	0.0005959296831861138	0.0013670999323949218	0.00022695100051350892	0.00022626345162279904	0.0005083656287752092	0.00048382009845227003	0.00021026551257818937	0.00031344511080533266	8.216032438213006e-05	0.0006824001902714372	0.000632667273748666
ADIRF	0.0006324589485302567	4.291987806936959e-06	2.646598659339361e-05	0.0005981780705042183	0.000529034121427685	0.0005965601303614676	2.3057939415593864e-06	4.794207143277163e-06	0.0020034564658999443	3.1424737244378775e-05	6.946126086404547e-05	2.54564952228975e-06	1.0954915978800273e-06
ADK	0.0009500387823209167	0.0002542360161896795	0.0006933935801498592	0.0002761545474641025	9.399260306963697e-05	3.7138866900932044e-05	0.00012780424731317908	0.00042396021308377385	0.00015495618572458625	9.637146285967901e-05	0.00031066787778399885	0.0004808749654330313	0.0004075578472111374
ADM5	0.00027344634872861207	1.8375420722804847e-06	8.121278369799256e-06	2.306868964296882e-06	1.4750319223821862e-06	0.0005505298031494021	2.0371139726194087e-06	1.1113893378933426e-06	8.755663998272212e-07	1.2233202824063483e-06	9.148795356850314e-07	6.102728093537735e-06	1.3261260392027907e-06
ADORA3	8.517216798509253e-08	3.1027866498334333e-07	1.2288651873859635e-07	1.4709272910806703e-08	2.390364670645795e-07	1.5024649655970279e-05	0.000943635415751487	1.3540411600843072e-05	2.3417432259975612e-07	2.4979607360364753e-07	5.90540764733305e-07	1.4396144365491637e-07	6.922483919424849e-08
ADRA2A	0.0004458077601157129	6.592266004190606e-07	1.5420409908983856e-06	5.0108956202166155e-05	0.0002202504692832008	1.5554165599951375e-07	3.794483234287327e-07	4.244753654347733e-05	0.0006071809330023825	0.0005999061977490783	0.0007204434950836003	7.983851446624612e-07	1.1979076930401789e-07
ADRB2	7.502236258005723e-05	1.3461230082612019e-05	6.627989932894707e-05	1.4871613984723808e-06	5.018829369873856e-07	0.00012291379971429706	0.0001001845084829256	0.001990571850910783	3.524430439938442e-06	5.110003939989838e-07	1.4575629165847204e-06	0.00013820224558003247	0.0002323399530723691
AEBP1	2.7130536182085052e-06	1.7549396034155507e-06	5.195135599933565e-06	2.5716758500493597e-07	0.0005049059400334954	7.92686205386417e-06	1.4033298612048384e-06	5.038099061493995e-06	0.00012055915431119502	0.0024122633039951324	0.00165306287817657	9.473841600993183e-06	1.2551714689834625e-06
AES	0.0005298865726217628	0.0005247716326266527	0.0014843587996438146	0.0002603301836643368	0.00033968224306590855	0.0004152555775362998	0.0002086542808683589	0.0004598719533532858	0.00023948978923726827	0.0003502482722979039	0.0005369565333239734	0.0001071619990398176	0.0012387653114274144
AFAP1L1	9.897914424072951e-06	2.9891762096667662e-06	1.101900807043421e-06	4.518897640082287e-06	4.2282122194592375e-06	0.0016391181852668524	4.488228569243802e-06	2.9859134542675747e-07	4.300742148188874e-05	1.4777728210901842e-05	1.372173755953554e-05	8.700058060640004e-07	1.5494694594053726e-07
AFAP1L2	0.00020329053222667426	8.594316022936255e-05	2.2854035705677234e-05	1.0119526450580452e-05	8.804025856079534e-05	0.00033154411357827485	3.996086888946593e-06	0.0003283361147623509	0.0007942365482449532	0.00016402898472733796	0.0003253133036196232	1.4170885151543189e-05	0.00025090519920922816
AFF3	0.006048101466149092	2.3009420146991033e-06	0.00016361803864128888	0.0008400292135775089	8.680645805725362e-06	1.0028071301348973e-05	8.035360951907933e-05	4.658018224290572e-05	4.718405307357898e-06	5.7627016758488026e-06	3.510115493554622e-05	0.0007107140845619142	4.635787263396196e-06
AGR2	6.9496541073021945e-06	3.5349291920283576e-06	1.0723312698246446e-05	0.0005897267255932093	5.476766546053113e-06	1.8376474599790527e-06	5.5650712056376506e-06	9.30899568629684e-06	4.736668415716849e-06	7.646757467227872e-07	7.626048500242177e-06	1.2358204912743531e-06	9.837707693804987e-06
AGTRAP	0.00015933338727336377	0.00022147936397232115	0.00021364506392274052	0.0003361663839314133	0.00031071671401150525	0.00021031008509453386	0.0005722580826841295	0.0011734518921002746	9.362016862723976e-05	0.000249444623477757	0.00012661327491514385	4.183780765742995e-05	0.0006637202459387481
AHCY	3.1988169212127104e-05	0.0006298649241216481	0.0003889368090312928	0.0007043962250463665	0.00032459566136822104	0.00012835778761655092	0.00029623028240166605	8.661911851959303e-05	0.00023586694442201406	0.00020131972269155085	5.483294080477208e-05	0.00025981420185416937	0.00014349818229675293
