Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15
ADCY3	0.0010544246761128306	9.129579120781273e-05	0.0003349068865645677	0.00035078253131359816	0.0003212818701285869	2.192450665461365e-05	0.0002523289294913411	0.00014480338722933084	2.6148645702051e-05	0.00011107081809313968	0.00016609176236670464	0.00013421272160485387	6.92989669914823e-06	2.7575935746426694e-05	1.8817338059307076e-05
ADCY4	0.00018468030611984432	1.7560220157974982e-06	5.464138212118996e-06	6.0693764680763707e-05	2.6289017114322633e-05	2.3386597604257986e-05	1.308071023231605e-05	1.2626768693735357e-05	9.215121281158645e-06	5.298715677781729e-06	6.733856025675777e-06	4.0730275941314176e-05	0.00011577131226658821	0.0018754599150270224	4.854837243328802e-06
ADCY7	2.7759981094277464e-05	0.00024475439568050206	0.0004004955699201673	3.939676389563829e-06	0.001225222833454609	3.9114984247135e-06	0.00044878842891193926	0.00048346028779633343	0.0003551924310158938	2.7633353965939023e-05	0.00028333294903859496	0.0006679599755443633	1.4613852954425965e-06	3.3009634989866754e-06	0.00010588143777567893
ADCYAP1	5.59029693647517e-08	3.220129585201903e-08	4.0263564926590334e-08	1.1779198416661529e-07	5.3212751538467273e-08	1.9423177732846852e-08	2.452273974995478e-07	3.74459006025063e-08	1.8169062698802918e-08	4.516431317824754e-08	7.741691376850213e-08	1.5524058483151748e-07	4.826182564698911e-09	3.6880678067063855e-08	2.139354648988956e-07
ADGRA2	0.0020305966027081013	0.00043244913103990257	5.161003855391755e-07	0.00016019746544770896	9.125043902713514e-07	2.796437911456451e-06	1.7119594986070297e-06	6.267121079872595e-07	4.7240214939847647e-07	1.2293741065150243e-06	1.7093135511458968e-06	8.86322322912747e-06	8.022423116926802e-07	0.00029342941707000136	7.283791546797147e-06
ADGRE2	0.00010387671500211582	5.721678007830633e-06	2.92031436401885e-05	3.4785477964760503e-06	5.7932666095439345e-05	3.727390549101983e-06	0.0005160187720321119	0.0009560376056469977	1.957113272510469e-05	8.927504495659377e-06	9.301402315031737e-06	0.003929812461137772	3.498724026940181e-06	4.63024889540975e-07	2.0830675566685386e-06
ADGRF5	0.0006861999281682074	5.583922302321298e-07	7.895942530922184e-07	0.00011410575098125264	5.753951768383558e-07	7.517638209719735e-07	1.1158816732859123e-06	2.889242409764847e-07	4.119582968087343e-07	1.7538247902848525e-06	6.855158858343202e-07	3.0443957257375587e-06	9.432343972548551e-07	0.0015913177048787475	1.445376142328314e-06
ADGRG1	7.649019835298532e-07	1.6527279740330414e-06	0.0006430292269214988	1.976517705770675e-05	0.0006984848878346384	0.00011384140088921413	1.2167795375717105e-06	3.492952964734286e-05	3.9657479646848515e-06	0.0001265883183805272	2.094008323183516e-06	1.042370786308311e-05	0.0001257052063010633	0.0006244939868338406	3.5597486203187145e-06
ADGRL2	0.0009082735632546246	0.00010254252993036062	4.3567257534959936e-07	0.00010855499567696825	8.360346441804722e-07	1.1839676972158486e-06	8.600337423558813e-06	7.03471300766978e-07	2.3001202009709232e-07	2.0910219973302446e-05	1.5868048421907588e-06	6.417516487999819e-06	1.7097190720960498e-05	0.0010295017855241895	1.644133362788125e-06
ADGRL4	7.953033218655037e-07	3.320875521239941e-06	5.102886575514276e-07	1.6871283605723875e-06	3.169769513533538e-07	2.5235485736629926e-06	1.252404899787507e-06	9.327713428319839e-07	1.159017870122625e-06	1.1528890127010527e-06	1.7778099845600082e-06	4.072330284543568e-06	1.702786533996914e-07	0.0025687881279736757	5.1428905862849206e-06
